network_name,date,start_hour,end_hour,shift
ant_aws13,20080103,16.5,23.5,c
ant_aws13,20080111,5.5,14.5,c
ant_aws13,20080119,7.5,21.5,c
ant_aws13,20080219,0.5,10.5,c
ant_aws13,20081210,15.5,23.5,c
ant_aws13,20081218,16.5,23.5,c
ant_aws13,20090107,0.5,8.5,l1
ant_aws13,20090115,14.5,21.5,c
ant_aws13,20091103,5.5,23.5,c
ant_aws13,20091110,16.5,23.5,c
ant_aws13,20091114,3.5,11.5,c
ant_aws13,20091123,12.5,21.5,c
ant_aws13,20091124,15.5,23.5,c
ant_aws13,20091125,6.5,13.5,c
ant_aws13,20091201,0.5,23.5,c
ant_aws13,20091221,4.5,11.5,l1
ant_aws13,20100113,4.5,11.5,c
ant_aws13,20100129,16.5,23.5,c
ant_aws13,20100130,5.5,23.5,c
ant_aws13,20100210,0.5,10.5,c
ant_aws13,20101122,16.5,23.5,c
ant_aws13,20101203,14.5,21.5,c
ant_aws13,20101205,5.5,12.5,c
ant_aws13,20101207,15.5,23.5,c
ant_aws13,20101215,16.5,23.5,c
ant_aws13,20101216,15.5,23.5,c
ant_aws13,20101220,6.5,13.5,l1
ant_aws13,20101228,5.5,12.5,c
ant_aws13,20110104,0.5,12.5,c
ant_aws13,20110130,4.5,11.5,c
ant_aws13,20111116,15.5,23.5,c
ant_aws13,20111121,3.5,10.5,l2
ant_aws13,20111214,12.5,21.5,c
ant_aws13,20111215,2.5,9.5,c
ant_aws13,20111220,15.5,23.5,c
ant_aws13,20111222,0.5,8.5,c
ant_aws13,20120104,11.5,23.5,c
ant_aws13,20120111,5.5,23.5,c
ant_aws13,20120112,15.5,23.5,c
ant_aws13,20120113,0.5,12.5,c
ant_aws13,20120114,16.5,23.5,c
ant_aws13,20120119,2.5,9.5,c
ant_aws13,20120120,5.5,13.5,c
ant_aws13,20120128,0.5,23.5,c
ant_aws13,20121112,2.5,9.5,c
ant_aws13,20121113,0.5,9.5,c
ant_aws13,20121122,16.5,23.5,c
ant_aws13,20121124,0.5,23.5,c
ant_aws13,20121203,4.5,11.5,r1
ant_aws13,20121214,0.5,11.5,c
ant_aws13,20121224,6.5,17.5,c
ant_aws13,20130130,0.5,7.5,c
ant_aws13,20131208,16.5,23.5,c
ant_aws13,20131209,0.5,9.5,c
ant_aws13,20131217,13.5,21.5,c
ant_aws13,20131227,16.5,23.5,c
ant_aws13,20140101,11.5,23.5,c
ant_aws13,20140118,16.5,23.5,c
ant_aws13,20140131,2.5,9.5,c
ant_aws13,20141111,16.5,23.5,c
ant_aws13,20141112,0.5,11.5,c
ant_aws13,20141124,15.5,23.5,c
ant_aws13,20141212,12.5,20.5,c
ant_aws13,20150107,6.5,14.5,c
ant_aws10,19960201,14.5,21.5,c
ant_aws10,19970106,5.5,12.5,r1
ant_aws10,19970107,6.5,13.5,r3
ant_aws10,19971103,5.5,12.5,r2
ant_aws10,19971201,5.5,12.5,r3
ant_aws10,19971203,5.5,12.5,r3
ant_aws10,19971214,5.5,13.5,r2
ant_aws10,19990104,5.5,12.5,r3
ant_aws10,19991105,16.5,23.5,r2
ant_aws10,20000116,16.5,23.5,c
ant_aws10,20001111,11.5,19.5,c
ant_aws10,20001214,5.5,15.5,r1
ant_aws10,20010102,0.5,7.5,c
ant_aws10,20030318,9.5,15.5,l2
ant_aws10,20031021,7.5,23.5,c
ant_aws10,20031025,9.5,18.5,c
ant_aws10,20031028,11.5,23.5,c
ant_aws10,20031029,14.5,23.5,c
ant_aws10,20031030,15.5,23.5,c
ant_aws10,20031101,14.5,23.5,c
ant_aws10,20031109,15.5,23.5,c
ant_aws10,20031117,0.5,20.5,c
ant_aws10,20031120,12.5,20.5,c
ant_aws10,20031206,10.5,23.5,c
ant_aws10,20031207,8.5,23.5,c
ant_aws10,20031208,16.5,23.5,c
ant_aws10,20031215,14.5,23.5,c
ant_aws10,20031216,8.5,23.5,c
ant_aws10,20031229,12.5,21.5,c
ant_aws10,20031230,9.5,23.5,c
ant_aws10,20031231,14.5,23.5,c
ant_aws10,20040101,12.5,23.5,c
ant_aws10,20040102,9.5,19.5,c
ant_aws10,20040104,13.5,23.5,c
ant_aws10,20040109,12.5,23.5,c
ant_aws10,20040118,9.5,19.5,c
