network_name,file_name,lat,lon,stn_name,scale,offset,offset_range
ant_aws13,ant_aws13,-82.12,55.03,Pole of inaccessibility,1400,0,10
ant_aws10,ant_aws10,-79.57,-45.78,Berkner Island,1400,0,10
ant_aws12,ant_aws12,-78.65,35.63,Plateau Station B,1400,0,10
ant_aws08,ant_aws08,-76,-8.05,SWEDARP9798 Camp Victoria,1400,0,10
ant_aws09,ant_aws09,-75,0,DML05 Kohnen,1400,0,10
ant_aws03,ant_aws03,-74.98,15,NARE9697 site M,1400,0,10
ant_aws07,ant_aws07,-74.57,-11.05,Scharffenbergbotnen,1400,0,10
ant_aws06,ant_aws06,-74.47,-11.52,SWEDARP9798 Svea,1400,0,10
ant_aws05,ant_aws05,-73.1,-13.16,SWEDARP9798 Wasa Aboa,1400,0,10
ant_aws04,ant_aws04,-72.75,-15.48,SWEDARP9798 Rampen,1400,0,10
ant_aws02,ant_aws02,-72.25,2.88,NARE9697 site C,1400,0,10
ant_aws16,ant_aws16,-71.95,23.33,Princess Elisabeth station,1400,0,10
ant_aws01,ant_aws01,-71.9,3.08,NARE9697 site A,1400,0,10
ant_aws11,ant_aws11,-71.16,-6.8,Halvfarryggen,1400,0,10
ant_aws19,ant_aws19,-70.95,26.27,King Baudoin Ice Shelf,1400,0,10
ant_aws15,ant_aws15,-67.57,-62.15,Larsen C South,1400,0,10
ant_aws14,ant_aws14,-67.02,-61.5,Larsen C North,1400,0,10
ant_aws18,ant_aws18,-66.4,-63.37,Larsen C West,1400,0,10
ant_aws17,ant_aws17,-65.93,-61.85,Scar Inlet Larsen B,1400,0,10
promice_qasl,promice_Qassimiut-L,61.0308,-46.8493,QAS-L,1400,0,15
promice_qasm,promice_Qassimiut-M,61.0998,-46.833,QAS-M,1400,0,15
promice_qasu,promice_Qassimiut-U,61.1753,-46.8195,QAS-U,1400,0,15
promice_qasa,promice_Qassimiut-A,61.243,-46.7328,QAS-A,1400,0,15
gcnet_dome,gcnet_dome,63.14889,-44.81717,South Dome,1400,0,15
promice_nukk,promice_Nuuk-K,64.1623,-51.3587,NUK-K,1400,0,15
promice_nukl,promice_Nuuk-L,64.4822,-49.5358,NUK-L,1400,0,15
promice_nuku,promice_Nuuk-U,64.5108,-49.2692,NUK-U,1400,0,15
promice_nukn,promice_Nuuk-N,64.9452,-49.885,NUK-N,1400,0,15
promice_tasl,promice_Tasiilaq-L,65.6402,-38.8987,TAS-L,1400,0,15
