Station ID# 890010, Lat= -70.3170S, Lon=2.36700W, Synoptic observation from a fixed land station
Station Elevation = +00529 Meters, Call Letters = Missing, Quality Control Process = V072
 
year  mo da hr mn dir dqc wtype wsp sqc cig hqc visby dqc vv  vqc  dbt bqc  dpt pqc  slp sqc
1973  1  1  0  0 310  1      N   30 1   210 1   16000  1   N   9   -30 1   -40  1    995  0
1973  1  1 12  0 999  1      C    0 1   420 1    4800  1   N   9   -60 1   -60  1   9944  1
1973  1  2  0  0 999  1      C    0 1   420 1   40000  1   N   9   -40 1   -60  1   9958  1
1973  1  2  6  0 310  1      N   20 1   750 1   40000  1   N   9   -40 1   -60  1   9968  1
1973  1  2 12  0 999  1      C    0 1  6000 1   40000  1   N   9   -10 1   -60  1   9985  1
1973  1  2 18  0 999  1      C    0 1  6000 1   40000  1   N   9   -10 1   -50  1   9990  1
1973  1  3  0  0 270  1      N   30 1  6000 1   40000  1   N   9   -30 1   -60  1   9992  1
1973  1  3  6  0 250  1      N   20 1 22000 1   40000  1   N   9   -40 1   -70  1   9984  1
1973  1  3 12  0 310  1      N   41 1  2400 1   40000  1   N   9   -10 1   -50  1   9980  1
1973  1  3 18  0 310  1      N   51 1   750 1   40000  1   N   9   -10 1   -40  1   9974  1
1973  1  3 21  0 310  1      N   41 1  2400 1   40000  1   N   9   -10 1   -50  1   9980  1
1973  1  4  0  0 360  1      N   30 1  1200 1   40000  1   N   9   -30 1   -40  1   9980  1
1973  1  4 12  0  20  1      N   41 1   750 1   40000  1   N   9   -10 1   -50  1  10003  1
1973  1  5  0  0  50  1      N   46 1   120 1    3200  1   N   9   -20 1   -30  1  10030  1
1973  1  5  6  0  30  1      N   30 1   210 1   10000  1   N   9   -10 1   -10  1  10039  1
1973  1  5 12  0 360  1      N   36 1   420 1   24000  1   N   9     0 1   -10  1  10053  1
1973  1  5 18  0 310  1      N   36 1   750 1   24000  1   N   9     0 1   -10  1  10059  1
1973  1  6  0  0 290  1      N   25 1   210 1   24000  1   N   9     0 1   -20  1  10064  1
1973  1  7  0  0 270  1      N   72 1  1200 1   40000  1   N   9   -20 1   -30  1  10040  1
1973  1  7  6  0 270  1      N  103 1   210 1   40000  1   N   9   -20 1   -30  1  10024  1
1973  1  7 12  0 270  1      N  108 1 22000 1   40000  1   N   9   -20 1   -40  1  10003  1
1973  1  7 18  0 270  1      N  113 1 22000 1   40000  1   N   9   -10 1  9999  9   9988  1
1973  1  8  0  0 270  1      N   51 1   750 1   40000  1   N   9   -30 1   -50  1  10001  1
1973  1  8  6  0 999  1      C    0 1   750 1   40000  1   N   9   -40 1   -50  1  10011  1
1973  1  8 12  0  90  1      N   51 1 22000 1   40000  1   N   9  9999 9  9999  9  10035  1
1973  1  9  0  0  90  1      N  103 1 22000 1   40000  1   N   9   -40 1   -60  1  10025  1
1973  1  9 12  0  90  1      N  139 1   750 1   40000  1   N   9   -30 1   -50  1   9981  1
1973  1  9 18  0  90  1      N  139 1   750 1   40000  1   N   9   -30 1   -50  1   9981  1
