Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS(ddmm) LongitudeGPS(ddmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 5 3 0 124 5968 725.14 -30.35 -30.97 75.9 102 3.24 241.6 30.3 55.4 42.5 42.5 -999 144.6 190.7 .41 -32.34 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 0 -1.59 -999 -999 -999 -999 -999 -26.97 108.8 13.16
2016 5 3 1 124 5968 725.19 -31.58 -32.42 78.6 106.9 3.34 246.5 17.1 37.6 28.7 28.7 -999 143.2 186.3 .43 -33.74 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .02 -1.65 -999 -999 -999 -999 -999 -29.04 107.6 13.11
2016 5 3 2 124 5968 725.39 -32.15 -33.14 81.7 111.7 3.92 245.8 11.8 24.9 21.9 18.8 -999 143 184.4 .45 -34.33 2.581 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -.09 -1.64 -999 -999 -999 -999 -999 -30.55 109.8 13.08
2016 5 3 3 124 5968 725.53 -32.67 -33.52 81.3 111.7 3.87 251.2 21.6 39 30.3 29.3 -999 142.1 182.7 .45 -34.89 2.581 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .07 -1.74 -999 -999 -999 -999 -999 -31.2 107.7 13.05
2016 5 3 4 124 5968 725.57 -33.52 -34.26 79.1 109.5 3.72 252 44.2 67.9 50.6 50.6 -999 140.9 181.1 .47 -35.42 2.581 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .04 -1.62 -999 -999 -999 -999 -999 -31.4 108.2 13.07
2016 5 3 5 124 5968 725.82 -33.57 -34.39 78.6 108.9 3.52 244.9 82.9 110.6 81.9 81.9 -999 140.7 181.4 .47 -35.32 2.581 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .02 -1.68 -999 -999 -999 -999 -999 -31.22 109.9 13.08
2016 5 3 6 124 5968 725.76 -33.14 -33.69 77.2 106.6 4.06 250.1 142.8 166.8 122.6 122.6 -999 140.5 183.2 .45 -34.73 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .16 -1.65 -999 -999 -999 -999 -999 -30.47 111 13.14
2016 5 3 7 124 5968 725.88 -32.55 -33.11 74.7 102.6 4.51 250 209.7 224.6 163.8 163.8 -999 140.9 185.4 .44 -34.03 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .05 -1.59 -999 -999 -999 -999 -999 -29.88 110.8 13.24
2016 5 3 8 124 5968 726.44 -31.15 -31.7 74.4 100.7 4.16 243.7 291.7 299.1 216.5 216.5 -999 142.4 189.6 .41 -32.69 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .24 -1.61 -999 -999 -999 -999 -999 -28.87 118.8 13.8
2016 5 3 9 124 5968 726.56 -30.4 -30.84 71.6 96.3 4.36 241.6 385.9 383.4 275.7 275.7 .719 142.7 194 .39 -31.3 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .07 -1.63 -999 -999 -999 -999 -999 -27.71 129.2 14.76
2016 5 3 10 124 5968 726.7 -29.12 -29.48 69.6 92.5 4.15 244 459.9 451.8 328.6 328.6 .727 144.4 200.1 .36 -29.42 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .15 -1.67 -999 -999 -999 -999 -999 -26.26 141.4 15.86
2016 5 3 11 124 5968 726.82 -27.91 -28.21 67.1 88.1 4.19 247.7 518.6 507.4 375.7 375.7 .74 146.1 205.5 .34 -27.79 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .11 -1.69 -999 -999 -999 -999 -999 -24.5 149.1 16.49
2016 5 3 12 124 5968 726.97 -26.73 -27.04 65.3 84.7 4.16 245.3 559.5 545 412.8 412.8 .757 147.1 211.6 .31 -26 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .03 -1.77 -999 -999 -999 -999 -999 -23.19 151.6 16.69
2016 5 3 13 124 5968 727.06 -25.26 -25.6 64 81.8 3.76 242.1 583.7 567.3 436.3 436.3 .769 148.6 217.2 .28 -24.38 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .23 -1.69 -999 -999 -999 -999 -999 -21.57 148.9 16.45
2016 5 3 14 124 5968 727.11 -23.77 -24.18 63.3 79.8 3.58 236.2 590.8 573.3 443.3 443.3 .773 150.1 222 .24 -23.02 2.584 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .06 -1.71 -999 -999 -999 -999 -999 -19.48 145.3 16.07
2016 5 3 15 124 5968 727.03 -22.91 -23.15 61.4 76.8 3.32 232.3 575.9 559.4 432.7 432.7 .773 151.1 224.7 .23 -22.24 2.584 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .1 -1.69 -999 -999 -999 -999 -999 -18.03 137.3 15.3
2016 5 3 16 124 5968 726.92 -22.8 -22.86 61.8 77.2 3.6 245.2 541.1 526.5 407.4 407.4 .774 151 224.8 .22 -22.22 2.584 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .02 -1.68 -999 -999 -999 -999 -999 -17.79 131 14.83
2016 5 3 17 124 5968 727.02 -22.66 -22.66 62.3 77.7 3.2 245.3 486.1 475.2 368.8 368.8 .776 151.3 224 .22 -22.44 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .05 -1.64 -999 -999 -999 -999 -999 -17.83 129 14.71
2016 5 3 18 124 5968 727.3 -22.92 -22.88 62.2 77.8 2.88 242.2 416.8 410.1 321 321 .783 150.7 221.8 .22 -23.05 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .08 -1.69 -999 -999 -999 -999 -999 -17.71 127.2 14.55
2016 5 3 19 124 5968 727.16 -23.69 -23.68 64.7 81.5 2.99 246.3 340.6 341.8 270.2 270.2 .793 149.7 217.7 .24 -24.21 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -.02 -1.65 -999 -999 -999 -999 -999 -18.75 126 14.34
2016 5 3 20 124 5968 727.38 -24.99 -24.97 66.6 84.9 2.81 246 258.9 274.6 215 215 -999 147.7 212.1 .26 -25.85 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .03 -1.61 -999 -999 -999 -999 -999 -20.26 123.5 14.09
2016 5 3 21 124 5968 727.57 -26.36 -26.59 69.9 90.4 2.9 235.3 183.6 211.4 163.8 163.8 -999 146.2 206 .29 -27.65 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .01 -1.65 -999 -999 -999 -999 -999 -22.13 120.4 13.83
2016 5 3 22 124 5968 727.56 -27.95 -28.33 72.5 95.2 2.93 233.5 116.7 150.9 115.7 115.7 -999 144.3 199.7 .32 -29.55 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -.01 -1.63 -999 -999 -999 -999 -999 -23.77 115.5 13.58
2016 5 3 23 124 5968 727.57 -29.61 -30.1 76 101.5 3.13 240.1 66.4 102.2 77.6 77.6 -999 142.5 193.9 .36 -31.34 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -.02 -1.6 -999 -999 -999 -999 -999 -25.71 113.6 13.39
