Foyn_Point
Operated by US
latitude -65.245392 longitude -61.646534 height 123.0m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the UNAVCO

2010 02 08 00 00   987.2    -7.7     4.9   291                                  
2010 02 08 01 00   986.7    -9.6     8.0   310                                  
2010 02 08 02 00   986.4    -8.5     6.8   301                                  
2010 02 08 03 00   986.1    -7.8     7.6   313                                  
2010 02 08 04 00   985.9    -7.0     5.7   300                                  
2010 02 08 05 00   985.6    -6.2     4.3   314                                  
2010 02 08 06 00   985.3    -5.9     6.0   315                                  
2010 02 08 07 00   985.1    -6.1     5.9   322                                  
2010 02 08 08 00   985.1    -6.3     5.1   309                                  
2010 02 08 09 00   985.2    -5.8     3.5   317                                  
2010 02 08 10 00   985.2    -5.6     4.9   268                                  
2010 02 08 11 00   985.4    -5.0     2.9   299                                  
2010 02 08 12 00   985.5    -3.5     1.2    85                                  
2010 02 08 13 00   985.9    -4.6     3.1   288                                  
2010 02 08 14 00   985.6    -3.9     4.9   219                                  
2010 02 08 15 00   985.5    -3.9     4.1   262                                  
2010 02 08 16 00   985.5    -2.8     2.9   235                                  
2010 02 08 17 00   985.5    -2.4     3.3   249                                  
2010 02 08 18 00   985.6    -2.3     5.3   215                                  
2010 02 08 19 00   985.8    -2.2     5.3   203                                  
2010 02 08 20 00   985.9    -2.0     1.8   152                                  
2010 02 08 21 00   986.1    -2.3     2.0    89                                  
2010 02 08 22 00   986.0    -3.3     2.9   195                                  
2010 02 08 23 00   986.0    -3.5     3.7   266                                  
