# AMRC AWS (http://amrc.ssec.wisc.edu/aws)
# Stations: AGO-4
# Sensors: air_temp,vtempdiff,rh,pressure,wind_dir,wind_spd
# Start: 2016-11-30T00:00:00Z
# End: 2017-11-30T23:59:59Z
# Type: q1h
# Avg: None
# Fields: stamp,AGO-4.air_temp,AGO-4.vtempdiff,AGO-4.rh,AGO-4.pressure,AGO-4.wind_dir,AGO-4.wind_spd
2016-11-30T00:00:00Z,-36.50,,56.00,624.60,269.00,5.80
2016-11-30T01:00:00Z,-35.70,,55.80,624.70,265.00,5.90
2016-11-30T02:00:00Z,-34.80,,56.00,625.00,266.00,6.30
2016-11-30T03:00:00Z,-34.20,,56.00,624.90,266.00,7.30
2016-11-30T04:00:00Z,-33.60,,56.00,624.90,264.00,7.30
2016-11-30T05:00:00Z,-32.90,,56.30,625.00,266.00,7.20
2016-11-30T06:00:00Z,-32.20,,56.50,625.30,266.00,8.00
2016-11-30T07:00:00Z,-31.70,,57.00,625.50,265.00,7.80
2016-11-30T08:00:00Z,-31.40,,58.00,625.60,269.00,8.00
2016-11-30T09:00:00Z,-31.40,,57.00,625.60,271.00,8.60
2016-11-30T10:00:00Z,-31.40,,60.90,625.50,270.00,8.20
2016-11-30T11:00:00Z,-31.50,,57.20,625.60,275.00,8.10
2016-11-30T12:00:00Z,-31.60,,58.00,625.70,276.00,7.70
2016-11-30T13:00:00Z,-32.10,,58.60,625.90,275.00,7.20
2016-11-30T14:00:00Z,-32.30,,59.70,625.80,275.00,7.40
2016-11-30T15:00:00Z,-32.80,,59.00,625.60,276.00,6.60
2016-11-30T16:00:00Z,-33.60,,59.00,625.60,274.00,7.20
2016-11-30T17:00:00Z,-34.10,,58.00,625.50,275.00,7.30
2016-11-30T18:00:00Z,-35.10,,57.40,625.60,277.00,6.20
2016-11-30T19:00:00Z,-35.70,,57.00,625.60,277.00,5.90
2016-11-30T20:00:00Z,-35.90,,57.00,625.60,271.00,6.50
2016-11-30T21:00:00Z,-35.70,,57.00,625.50,269.00,7.00
2016-11-30T22:00:00Z,-35.60,,57.00,625.60,266.00,7.00
2016-11-30T23:00:00Z,-35.40,,56.40,625.50,264.00,7.40
